id,功能模块名称,功能模块描述
D2-F1-2-3,网络音频播放,"网络音频播放功能（如：华为音乐），引入原生应用（华为音乐），以原生应用能力为准，座舱提供系统能力
增加5级描述：满足曲目选择、曲目列表、检索、播放/暂停、ID3信息（含专辑封面图片）、进度等显示/控制等要求；
支持歌词播放；
支持播放模式选择（单曲循环、全部喜欢、随机播放）；
支持断点记忆；
支持卡片式播放显示和控制（播放/暂停）；
支持方向盘控制（上/下曲选择、音量控制、暂停）"""
D2-F1-2-4,网络视频播放,"网络视频播放（如：华为视频），引入原生应用（华为视频），以原生应用能力为准，座舱提供系统能力
增加5级描述：满足曲目选择、检索、播放/暂停、进度显示/控制等要求；
支持断点记忆；
支持全屏播放；
支持窗口播放显示和控制（播放/暂停/全屏）；
支持方向盘控制（上/下曲选择、音量控制、暂停）"""
D2-F1-2-5,蓝牙音乐,"蓝牙音频播放功能；云服务开发应用，座舱提供系统能力
增加5级描述：满足曲目选择、检索、播放、暂停、ID3信息（含专辑封面图片）、进度显示等要求；
支持第三方音源歌词信息显示；
支持卡片式播放显示和控制（播放/暂停）；
支持方向盘控制（上/下曲选择、音量控制、暂停）"""
D2-F1-2-6,图片浏览,"图片分类浏览功能，引入原生应用（图库），以原生应用能力为准，座舱提供系统能力
增加5级描述：满足按时间轴查看照片与视频；支持对图片和视频全屏查看、播放/暂停、删除、放大/还原、文件信息显示； 
满足图片全屏查看、删除、放大/还原、文件信息显示等要求；
支持图片文件一键分享（基于HUAWEI Share）；
支持文件格式（需要被列举）"
D2-F1-3,KTV,车载KTV（华为生态/第三方APP应用），引入三方生态（雷石等），以三方生态能力为准，座舱提供系统能力
D2-F1-3-1,音频,"支持麦克风模式一键开启/关闭，支持音频多路输入等,支持音效调节；多路音频音量调节（伴奏、原声、麦克风）,支持HIFI音质；"
D2-F1-3-6,数字麦克风,支持无麦K歌
D2-F1-4,高频音效,支持3D立体声音效，智慧出行开发应用（系统设置-声音），座舱提供系统能力
D2-F1-4-1,3D立体声音效,"3D立体声音效
增加5级描述：支持3D环绕音功能；支持最佳甜点位、空间音效等设置；系统支持响度控制；系统提供均衡器功能；基于激励器配置，实现4D音效"
D2-F1-4-2,音量自适应调节,车速增加时，自动增益控制音量提升
D2-F1-4-3,支持道路降噪,基于RNC功放、加速度传感器、麦克风、扬声器进行道路降噪。
D2-F1-4-8,一键静音,用户可以通过按键触发整车媒体声音(含音乐、视频、游戏、导航)静音。对于告警音、电话铃音、ECALL/BCALL、电话不静音。
D2-F2-1,车载游戏,车载游戏支持车机本地游戏，支持车机生态游戏。针对支持一根线switch游戏，以智选车生态规划能力为准
D2-F2-1-1,APP,支持应用市场游戏下载、迭代、更新（如快手小游戏、RPG游戏等）
D2-F2-1-2,外设,游戏APP外设设置（可同时支持一路手柄和一路蓝牙耳机同时连接）。引入三方生态，以三方生态能力为准，座舱提供系统能力，车机支持一路手机蓝牙+一路蓝牙耳机同时连接，此时手柄可能需要USB连接
D2-F2-1-3,蓝牙手柄,支持蓝牙手柄连接，可适配游戏APP需求。引入三方生态，以三方生态能力为准，座舱提供系统能力，车机支持一路手机蓝牙+一路蓝牙耳机同时连接，此时手柄可能需要USB连接
D2-F3-1,蓝牙,车载蓝牙功能
D2-F3-1-1,蓝牙连接,手机蓝牙连接，实现搜索、匹配、连接、删除、断开等功能及显示；
D2-F3-1-2,设备信息显示/设置,搜索设备名称列表显示（区分历史连接设备）；已连接设备名称显示；蓝牙开启关闭；搜索设备名称列表显示（区分历史连接设备）；已连接设备名称显示；
D2-F3-2,车载电话,蓝牙电话功能，实现拨号键盘、来电、接听、呼出、挂断、通话中、三方通话【基于手机能力实现】、私密通话、麦克风静音等功能及显示
D2-F3-2-1,蓝牙电话,"蓝牙电话功能，实现拨号键盘、来电、接听、呼出、挂断、通话中、三方通话【基于手机能力实现】、私密通话、麦克风静音等功能及显示
增加5级描述：支持卡片式通话界面（挂断/静音）；通讯录显示、同步、可检索；通话记录同步、显示；通讯录自动下载开关（用户断开蓝牙后，车机侧不再保留通讯录及通话记录；支持语音检索拨打；来电铃声播放；当用户有头枕音响时，优先使用头枕接听，用户可用免提切换至音响，智慧出行开发应用（此时需要头枕设置为私享模式，以交互设计为准），座舱提供系统能力；私密通话时，改为手机接听电话。支持其他应用调蓝牙电话通道"
D2-F3-3,网络连接,车辆接入互联网（T-BOX网络、WIFI）
D2-F3-3-1,网络,"5G信号强度显示等
增加5级描述：流量开关（开启/关闭）
5G信号强度显示（可不显示5G图标）。"
D2-F3-4,WiFi,车机可以作为station接入到其他wifi网络
D2-F3-5,智能设备充电,支持用户在车内给智能设备充电，如手机/PC/Pad，包含有线充电以及无线充电
D2-F3-5-1,有线充电,USB充电接口（兼容快充）、支持USB连接状态显示
D2-F3-5-2,无线充电,"智慧出行开发应用（以交互设计为准），座舱提供系统能力，依赖对手件检测并提供相应信号
增加5级描述：充电状态显示（未充电、充电中、充电完成、充电错误）、支持XXXX个无线充电的显示和控制
手机遗忘提醒：手机置于无线充电时。用户离开时提醒拿取手机
无线充电异物提醒：无线充电启用时，检测到手机之间有异物的提醒"
D2-F3-6,X-Call,支持B-Call道路救援及E-Call紧急救援功能
D2-F3-6-1,B-Call,"支持道路救援服务电话
增加5级描述：用户主动拨打道路救援B-Call电话（TBOX通信链路，依赖软按键）
用户接听道路救援B-Call来电（TBOX通信链路）
通话中界面（包括静音、手机/全车/头枕声道切换、拨号盘）"""
D2-F3-6-2,E-Call,"支持紧急救援电话
增加5级描述：用户主动拨打紧急救援E-Call电话（TBOX通信链路，依赖硬按键）
车辆主动拨打紧急救援E-Call电话（TBOX通信链路）
用户接听紧急救援E-Call来电（TBOX通信链路）
通话中界面（包括拨号盘）"
D2-F3-7,行车记录仪,支持行车记录仪高清拍照；根据车辆信号触发紧急视频保存。车云开发应用，能力以车云APP为准，座舱提供系统能力并集成APP
D2-F3-7-1,设置,"行车记录仪开关、录像、录音、等设置
增加5级描述：支持行车记录仪开启/关闭
紧急录像开启/关闭
录音开启/关闭
视频加锁/解锁设置（视频脱敏）
录制时长设置
灵敏度设置
录制分辨率设置"""
D2-F3-7-2,状态显示,"行车记录仪工作状态显示，比如录音、故障灯
增加5级描述：录音状态显示
行车记录仪工作状态显示
外部存储设备插拔提示
故障提示
行车记录仪相册/视频文件夹跳转、浏览"
D2-F3-7-3,事故取证,事故取证
D2-F3-7-4,停车拍照,停车拍照
D2-F3-7-5,图片上云,图片上云
D2-F3-7-6,截图,支持视频回放，回放视频的截图功能
D2-F3-7-7,拍照,支持行车记录仪一键拍照功能
D2-F3-7-8,紧急视频,支持紧急视频保存
D2-F3-7-9,文件管理,存储视频、图像浏览、删减、一键分享等操作
D2-F3-7-10,黑区裁剪,对DVR黑区进行裁剪，以实现图片美化效果
D2-F3-8,CMS,车内监控系统，支持车内拍照/录像等功能。智慧出行开发应用（相机），座舱提供系统能力
D2-F3-8-1,车内拍照/录像,"支持用户通过车载的摄像头拍照、录像并上传/分享等
增加5级描述：支持用户通过车载的摄像头拍照、录像并上传
支持语音控制/一键拍照；
支持图片一键分享（分享手机端，基于HUAWEI Share）。引入原生应用（图库），以原生应用能力为准，座舱提供系统能力"
D2-F3-8-2,中控屏支持摄像头小背包升降,中控屏支持对摄像头小背包的升降控制
D2-F3-8-3,CMS位置关联控制,CMS随着手动升降位置，关联启用策略
D2-F3-9,手机互联,支持车机与手机间的通信、交互
D2-F3-9-1,无线投屏,支持华为、安卓手机投屏，可实现手机信息同步显示与反控
D2-F3-9-2,华为无缝流转,"支持业务数据的跨端无缝流转，实现手机与车机之间日历、导航、音乐、照片与视频等数据的无缝同步流转
增加5级描述：在手机-车机间双向同步日历应用中的日程信息（应用层同步数据）
在手机-车机间双向流转地图应用中的导航目的地信息（应用层同步数据）
手机向车机同步音乐应用中的收藏、当前播放曲目等信息（无感流转）
车机向手机同步图库中的照片、视频文件（一碰触发）
车机与手机双向流转正在进行的畅连音视频通话（无感流转）"
D2-F3-10,蓝牙耳机,支持播放音频/视频无线耳机连接;支持多蓝牙设备的连接
D2-F3-11,华为pad,车与华为 pad联动（需求场景与可行未评估，暂未接纳）
D2-F3-12,智能家居,智能家居，指车载系统和家中的智能家居系统通过云平台实现信息互联
D2-F3-13,生态产品,车与华为生态产品联动，如儿童座椅
D2-F3-14,相机,相机
D2-F3-14-1,多机位相机,需求可行性需App侧评估，暂未接纳
D2-F3-14-2,延时摄影,需求可行性需App侧评估，暂未接纳
D2-F3-15,超级桌面,超级桌面以车机为主，手机作为座舱增强手段，支持手机应用上车，并支持调用车机摄像头等能力
D2-F3-16,接入WIFI热点功能,"用户终端（不含MLINK, 扶手屏等车内器件）可以通过座舱界面或者语音打开热点功能，并连接WIFI"
D2-F4-1,前碰撞预警-FCW,功能软开关设置，全景下车模雷达警报及提示音
D2-F4-1-1,FCW软开关,前碰撞预警-FCW的功能软开关设置
D2-F4-2,后碰撞预警-RCW,功能软开关设置，全景下车模雷达警报及提示音
D2-F4-2-1,RCW软开关,后碰撞预警-RCW的功能软开关设置
D2-F4-3,自动紧急制动,前进/后退紧急制动功能开关设置
D2-F4-3-1,紧急制动功能开关,"紧急制动功能开关设置，包含
前进紧急制动功能开关设置
倒车紧急制动功能开关设置"
D2-F4-4,穿行辅助报警,前进/后退时根据检测到的与其他车/物/人潜在碰撞风险进行报警和紧急制动的功能的开关设置
D2-F4-4-1,CTA软开关设置,前进/后退时根据检测到的与其他车/物/人潜在碰撞风险进行报警和紧急制动的功能的开关设置
